created_at,screen_name,text;;;;;;;;
"2018-02-01,semara b,""I love the way we can walked along the street and see the  lots of things in one place. I love the super cheap ankringan becak and andong.""";;;;;;;;
"2018-01-01,c0ladashine,""The area more enjoyable after 6pm. Good place to hunt for souvenirs at a reasonable price. Try to walk around before buying so you can get the best price! There is a big mall with some western shops and asian shops""";;;;;;;;
"2018-02-01,nryati D,""Took a walk along this street to see local offerings such as batik local-print t-shirts and souvenirs at a bargain.  Travellers will get to appreciate the creativity of the locals through the designs and motives  displayed through their batik. You will be spoiled with so many""";;;;;;;;
"2017-11-01,Ale Claase,""I think that couldn't say come to Yogyakarta if we don't step to Malioboro. All of the side of the road is full with souvenirs clothes food drink art painting even horse cart. All of the seller is really kind and polite. But be careful of your  luggage and wallet while you""";;;;;;;;
"2017-06-01,Dominikam1991,""It is a lovely experience to wander around the street. You have loads of shops with souvenirs clothes batiks food and drinks. You can easily spend 2 hours simply walking down and browsing.""";;;;;;;;
"2017-12-01,Yenyenyenyenyen,""If u like Batik it's a heaven's paradise cos even though I am not a Batik person I find myself going crazy over the Colours variety and pricing of Batik pdts here!""";;;;;;;;
"2018-01-01,Lyana I,""Those who really like shopping you can go this road.  Its full of shop and they open at 10am. You can find batik's begs sourviner and everything here.  There is a mall also at this road. When at night is full with local and tourist. Night view is very nice.  At the end of""";;;;;;;;
"2018-01-01,shernellt,""Jogja is known for many touristic activities but you can?t visit this city without shopping on Malioboro street. If you?re like me and booked a hotel just a two-minute walk to this street then you?ll have a good shopping experience. There are shops and stores side by side and""";;;;;;;;
"2018-01-01,amphport,""Sellers are very friendly. Best prices are at the southern end mainly south of Malioboro Mall. Wife bought a couple of necklaces from one place. The old lady at the stall gave her a discount without being asked for one. Then she bought two pairs of sandals. Again without""";;;;;;;;
"2017-04-01,Zaini,""This place has become a must-visit for tourists you will find many thing about culture such as batik traditional toys accessories traditional food. But if you want go to Malang town ( beautiful places ) close to Bromo easier you can using train. Yogyakarta - Malang (6 hour)""";;;;;;;;
"2018-01-01,Iqbal F,""Great place good weather when we are here offer the nuance of jogja.  Delman is abit steep though 100K for rounding the keraton alun2 and go back to malioboro again.""";;;;;;;;
"2017-12-01,SriSari,""Rows of shops and shops and more shop to choose from to buy souvenirs.  We came late evening and the place was so full of life. The are also many restaurants in the area to chose from.""";;;;;;;;
"2017-12-01,Ismail A,""It is an interesting walking street of Yojakarta. Very safe. Lots of shopping and street foods. Very good place to spend the evening to do a people watching. Lots of Indonesian tourists mixed with foreigners.""";;;;;;;;
"2017-09-01,masfarlinie,""its great to stay here. theres a lot of hipster cafe and restaurant along the street.and its near to the convenience shop. no worries to find food at the late hour as theres always have a delivery and this place was so well known by local people. great stay and feel like a local""";;;;;;;;
"2017-12-01,Novira H,""A place that has not changed much a place of favorite to seek / hunt by because of the price hikes that can bargain. Than to much food in the evening time (angkringan)""";;;;;;;;
"2017-09-01,SurfingWild,""Our hotel was located on Malioboro Road which made it very convenient  for us to nip outside for some shopping. In fact almost directly outside was a mall. Apart from the mall and the amazing shop called Kamzah Batik where we did most of our shopping Malioboro is full of eat""";;;;;;;;
"2017-10-01,mahard2014,""Malioboro Street is located near Tugu railway station on the south and Keraton Jogjakarta on the north. After renovation  Malioboro now looks more beautiful. Along the street you can enjoy lots of shops and culinary stall especially at night.  Try andong or becak for best ride""";;;;;;;;
"2017-11-01,Jan O,""Cheap to expensive Batik great atmosphere friendly department type stores too. Highly recommend a visit.""";;;;;;;;
"2017-11-01,Luis G,""Definetly a must while you visit Gyogyyakarta. You will find local clothing stores and many stands selling very similar things very cheap BUT the vibe and the experience worth the walk""";;;;;;;;
"2017-11-01,fajar zona,""Malioboro street is unanimously Yogyakarta most well known tourism place. You can find local/cafe mall and traditional market at Malioboro street. I appreciate government effort to regulate parking area for car and motorcycle. It's new regulation helps Malioboro street to be""";;;;;;;;
"2017-11-01,Danny Too,""Many people may disagree with my ratings here but this is definitely one of my favourite spots in Yogyakarta. The place is constantly packed and expect a traffic jam each time you are here. However this place is so vibrant and you can expect lots of activities here. You can""";;;;;;;;
"2017-10-01,LilanWhardani,""We can find lot of Batik here. If you buy Batik along the street you should bargain to get the best price. For the one who do not like bargaining you may go to Hamzah Batik.""";;;;;;;;
"2017-10-01,NetjesHome,""Awesome event for Yogyakarta's anniversary from 10.00PM-06.00AM with 10.000 free cups of coffee. There are 40 coffee shops who opened their booths infront of Malioboro Mall.""";;;;;;;;
"2017-09-01,Sunilgrg,""Great for shopping like a local. Cheap or comparative inexpensive stuffs in tons of shops and mall around.""";;;;;;;;
"2017-09-01,Roberto J,""This road have many street food and they are cheap enough for domestic and foreigner traveller. It's a must try for everyone who come to this city.""";;;;;;;;
"2017-06-01,sanghaya,""This place is a must if you need to buy souvenirs from Yogyakarta. Arrays of stalls and pedestrian stores are available from morning until 10:00 P.M. (unsure if there are still available beyond this time). We were able to buy cheap bags and clothes. Food is a little bit pricier""";;;;;;;;
"2017-09-01,MassimoConsiglia,""Business in Yogyakarta and need a break ? Walk on the beautiful Malioboro with its vendors and street coffee""";;;;;;;;
"2017-09-01,Peter V,""Title says it all really. Lots to do here the place to be. Also make sure you check out the many side streets!""";;;;;;;;
"2017-08-01,kimwan83,""A nice walk leading to a large number of the sites to see in Jogja. A few metres from train station from Jakarta. Friendly locals and plenty of affordable eats as well as slightly higher budget restaurants although plenty more on side streets. Even more interesting at night""";;;;;;;;
"2017-05-01,Pyone M,""A Street of cultural experience and funs ... Hundreds of people walking through in that endless street will make you enthusiastic. Take a moment to sit on the benches and watch the people wandering while enjoying the street cultural music show.. You'll also find small street""";;;;;;;;
"2017-09-01,ameliacitra,""unlike Tamansari you should visit Malioboro on weekends. Sometimes there's a parade. The atmosphere in Malioboro at the weekend is much more enjoyable""";;;;;;;;
